"ClaimType";"ClaimDay";"ClaimCost"
1;17;21094
1;17;39350
1;18;26485
1;18;25790
1;18;16142
1;18;14547
1;18;15063
1;18;10310
1;18;22349
1;18;19338
1;18;21878
1;18;40556
1;18;11503
1;18;25163
1;18;18460
1;18;12191
1;18;23545
1;18;17173
1;18;17488
1;18;12689
1;18;21785
1;19;23394
1;19;25843
1;19;24821
1;19;24996
1;19;33071
1;19;42204
1;19;14865
1;19;10274
1;19;15279
1;19;27103
1;19;18151
1;19;19107
1;19;9491
1;19;14402
1;19;19643
1;19;19271
1;19;10828
1;19;21922
1;19;18714
1;19;13944
1;20;31652
1;20;33958
1;20;39851
1;20;16497
1;20;16528
1;20;58854
1;20;18906
1;20;24772
1;20;21170
1;20;15458
1;20;39152
1;20;24972
1;20;368626
1;20;19429
1;21;22796
1;21;25362
1;21;17377
1;21;46805
1;22;34617
1;22;20233
1;22;27946
1;22;19058
1;22;15157
1;22;22894
1;22;18454
1;22;13104
1;22;19750
1;22;17710
1;22;16047
1;22;44744
1;22;10135
1;22;18351
1;22;15452
1;23;17781
1;23;202690
1;23;23437
1;23;19109
1;23;260295
1;23;9474
1;23;34040
1;23;19912
1;24;14770
1;24;34592
1;24;17848
1;24;10441
1;24;28245
1;24;15766
1;24;41265
1;24;21613
1;24;320575
1;24;23808
1;24;15204
1;24;11271
1;24;16265
1;25;12303
1;25;28796
1;25;23173
1;25;50944
1;25;18644
1;25;18645
1;25;21674
1;25;10194
1;25;25601
1;25;27812
1;25;22922
1;25;25520
1;25;20370
1;25;35725
1;25;12944
1;25;27250
1;25;11811
1;25;212846
1;25;23867
1;26;33664
1;26;318130
1;26;17014
1;26;17736
1;26;10857
1;26;12589
1;26;18156
1;26;13795
1;26;25750
1;26;14559
1;26;25208
1;26;38717
1;27;17547
1;27;11204
1;27;20183
1;27;21896
1;27;30328
1;27;21357
1;27;20107
1;27;37468
1;27;24186
1;27;280306
1;28;26807
1;28;23440
1;28;9924
1;28;23126
1;28;14903
1;28;10803
1;28;23890
1;28;14887
1;28;5411
1;28;21837
1;28;20388
1;28;13860
1;29;19170
1;29;10694
1;29;43435
1;29;33759
1;29;25708
1;29;12817
1;29;40289
1;29;22910
1;29;15196
1;29;31031
1;29;9062
1;29;15322
1;29;10183
1;29;8295
1;29;24916
1;29;14684
1;30;10183
1;30;24299
1;30;12385
1;30;33739
1;30;12509
1;30;31963
1;30;22158
1;30;8110
1;30;45263
1;30;18150
1;30;13512
1;30;30041
1;31;10958
1;31;18980
1;31;19415
1;31;16837
1;31;13839
1;32;16060
1;32;14971
1;32;30993
1;32;17532
1;32;11270
1;32;20953
1;32;9146
1;33;16413
1;33;27309
1;33;18235
1;33;192936
1;33;31092
1;33;46061
1;33;41980
1;33;215656
1;33;39054
1;33;28731
1;33;27177
1;33;11678
1;34;12492
1;34;27787
1;34;28469
1;34;14602
1;34;13042
1;34;9260
1;34;55581
1;34;22597
1;34;32210
1;34;15128
1;34;14960
1;34;25833
1;35;18007
1;35;17042
1;35;19114
1;35;14313
1;35;19816
1;35;27129
1;35;10695
1;35;22870
1;35;30130
1;35;11860
1;35;36307
1;35;17112
1;35;19287
1;35;18658
1;35;33562
1;35;26304
1;36;16646
1;36;276456
1;36;24458
1;36;15885
1;36;28083
1;36;12154
1;36;33359
1;36;27658
1;37;18977
1;38;15062
1;38;24511
1;38;31275
1;38;11514
1;38;30329
1;38;15704
1;39;12894
1;39;14953
1;39;20804
1;39;24592
1;39;18617
1;39;16736
1;39;18057
1;39;16433
1;39;16289
1;39;10779
1;39;16223
1;39;19735
1;39;8411
1;40;22685
1;40;13148
1;40;17843
1;40;13279
1;40;14572
1;40;24752
1;41;16661
1;41;10160
1;41;28235
1;41;17286
1;41;21977
1;41;11277
1;41;8845
1;41;28419
1;41;37889
1;41;48621
1;41;15753
1;41;13861
1;42;22235
1;42;34958
1;42;34504
1;42;30952
1;42;22904
1;42;19904
1;42;26767
1;42;13413
1;42;30340
1;43;16263
1;43;28006
1;43;211000
1;43;14556
1;43;16795
1;43;6761
1;43;19262
1;43;25521
1;43;24236
1;43;26121
1;43;28907
1;43;24420
1;43;19197
1;43;24514
1;44;21825
1;44;18323
1;44;32817
1;44;16596
1;44;18719
1;44;291196
1;44;12903
1;44;10768
1;44;14784
1;44;11383
1;44;18131
1;44;19752
1;44;16385
1;44;26438
1;44;19162
1;44;22896
1;44;31038
1;44;9951
1;45;19410
1;45;18804
1;45;197606
1;45;15191
1;45;21651
1;45;16355
1;45;23389
1;45;21482
1;45;11742
1;45;9519
1;45;34183
1;46;17496
1;46;12123
1;46;229075
1;46;16760
1;46;25243
1;46;18473
1;46;27591
1;46;31764
1;46;17162
1;46;18238
1;46;28058
1;46;17725
1;46;25208
1;46;21124
1;46;227903
1;46;14829
1;46;12371
1;47;20652
1;47;19855
1;47;16940
1;47;38154
1;47;22018
1;47;28928
1;47;20330
1;47;29546
1;47;39633
1;47;16419
1;47;18860
1;47;26670
1;47;18128
1;47;31622
1;48;22625
1;48;19423
1;48;12845
1;48;45772
1;48;11780
1;48;22649
1;48;16453
1;48;26819
1;48;41425
1;48;38681
1;48;10112
1;48;23439
1;48;16734
1;49;18352
1;49;8637
1;49;12273
1;49;15936
1;49;11893
1;49;17764
1;49;31350
1;49;28950
1;49;15098
1;49;30781
1;49;16887
1;49;9416
1;49;18283
1;49;31351
1;49;20116
1;49;35965
1;49;30521
1;49;26289
1;49;24178
1;49;19974
1;50;13055
1;50;8255
1;50;10944
1;50;27220
1;50;36351
1;50;19565
1;50;19447
1;50;26589
1;50;30500
1;50;12421
1;50;13958
1;50;20628
1;50;34368
1;50;15883
1;50;12562
1;51;26485
1;51;25748
1;51;15311
1;51;17531
1;51;27458
1;51;61232
1;51;15294
1;51;18528
1;52;165295
1;52;21274
1;52;33917
1;52;46661
1;52;13758
1;52;23670
1;52;19862
1;52;11801
1;52;8276
1;52;9493
1;52;10585
1;52;16009
1;53;12745
1;53;10777
1;53;24325
1;53;41342
1;53;18614
1;53;49644
1;53;26163
1;53;31436
1;53;44987
1;53;17945
1;53;25048
1;53;19425
1;53;18692
1;53;17148
1;54;14623
1;54;36961
1;54;25782
1;54;27739
1;54;20639
1;54;21638
1;54;13132
1;54;15822
1;54;29772
1;54;25789
1;54;15417
1;54;24858
1;54;220409
1;54;13295
1;54;24459
1;54;18899
1;54;13615
1;54;13911
1;54;44852
1;54;30367
1;54;26312
1;54;44719
1;55;16132
1;55;15785
1;55;24716
1;55;18328
1;55;18144
1;55;23186
1;55;20915
1;55;16395
1;55;9511
1;55;34555
1;55;13390
1;55;20487
1;56;32276
1;56;12926
1;56;15759
1;56;9887
1;56;12887
1;56;10614
1;56;19612
1;57;287452
1;57;36874
1;57;29803
1;57;23558
1;57;16176
1;57;49690
1;57;24832
1;57;18282
1;58;17076
1;58;32627
1;58;302209
1;58;24297
1;58;18081
1;58;58936
1;58;32994
1;58;17580
1;58;11545
1;58;12157
1;58;297152
1;58;19426
1;59;11940
1;59;30309
1;59;17014
1;59;28219
1;59;13959
1;59;18312
1;59;16301
1;59;18033
1;60;12711
1;60;16469
1;60;21036
1;60;38579
1;60;20080
1;60;13968
1;60;20657
1;61;24142
1;61;24611
1;61;8560
1;61;17320
1;61;16611
1;61;18092
1;61;17731
1;61;35476
1;61;7603
1;61;17753
1;61;32012
1;61;15305
1;61;16690
1;61;9050
1;61;27433
1;61;8824
1;61;10988
1;62;24824
1;62;25244
1;62;12483
1;62;21207
1;62;24531
1;63;29581
1;63;23190
1;63;15679
1;63;37057
1;63;9558
1;63;18222
1;63;15563
1;63;15255
1;63;20685
1;64;29090
1;64;23995
1;64;8937
1;64;11289
1;64;31048
1;64;17709
1;64;18101
1;64;27735
1;64;27496
1;64;25183
1;64;10299
1;64;15966
1;65;18061
1;65;20409
1;65;17372
1;65;24891
1;65;15168
1;65;9621
1;65;32025
1;65;24609
1;65;15333
1;65;8754
1;65;26141
1;65;12866
1;65;20351
1;65;37086
1;66;19030
1;66;14965
1;66;39979
1;66;12811
1;66;15124
1;66;18374
1;66;23968
1;66;25482
1;66;22170
1;66;265888
1;66;26639
1;66;11735
1;66;30703
1;66;31745
1;67;11994
1;67;22591
1;67;17239
1;67;24894
1;68;56290
1;68;20503
1;68;20147
1;68;34389
1;68;7083
1;68;10148
1;68;35183
1;68;24506
1;68;24836
1;68;29919
1;69;40148
1;69;22978
1;69;9903
1;69;30206
1;69;17520
1;69;25146
1;69;21531
1;69;18141
1;70;23576
1;70;16437
1;70;28252
1;70;14665
1;70;13552
1;70;15528
1;70;19886
1;70;15835
1;70;16706
1;70;16165
1;70;27697
1;70;236660
1;71;30484
1;71;32992
1;71;29723
1;71;49545
1;71;21319
1;71;21843
1;71;45950
1;71;16258
1;71;22208
1;71;9289
1;71;11623
1;71;20719
1;71;12157
1;72;26045
1;72;26904
1;72;21308
1;72;22242
1;72;28718
1;72;42268
1;72;36904
1;72;25446
1;73;19413
1;73;29312
1;73;211122
1;73;13349
1;73;20286
1;73;15434
1;73;19809
1;73;36276
1;74;42829
1;74;14017
1;74;35737
1;74;42603
1;74;20002
1;74;276025
1;74;22216
1;74;22062
1;75;16622
1;75;17837
1;75;26714
1;75;20277
1;75;33671
1;75;8643
1;75;16690
1;75;18907
1;75;18266
1;76;18759
1;76;14032
1;76;12763
1;76;11125
1;76;22536
1;76;25255
1;76;12002
1;76;13708
1;76;16883
1;76;37647
1;76;22001
1;76;26419
1;76;15080
1;76;14768
1;76;251952
1;77;10951
1;77;11826
1;77;10405
1;77;20003
1;77;16468
1;77;20396
1;77;13304
1;77;30197
1;77;11457
1;77;18940
1;77;18016
1;77;27350
1;77;10809
1;77;38670
1;77;14128
1;77;12711
1;77;28642
1;77;36842
1;77;19004
1;77;10377
1;77;9444
1;77;12433
1;77;16872
1;78;10579
1;78;30126
1;78;17105
1;78;23635
1;78;11685
1;78;30564
1;78;49418
1;78;22281
1;78;22013
1;78;28176
1;78;9535
1;78;12556
1;78;42281
1;78;32701
1;79;16939
1;79;28860
1;79;11843
1;79;15009
1;79;25012
1;79;17870
1;79;28023
1;79;39380
1;79;35914
1;79;18806
1;79;37681
1;79;23218
1;79;16948
1;79;16431
1;80;16473
1;80;14658
1;80;14042
1;80;18412
1;80;22988
1;80;20459
1;80;24186
1;80;13433
1;80;266433
1;80;8280
1;80;12358
1;80;39260
1;80;9274
1;81;15195
1;81;45592
1;81;9621
1;81;13864
1;81;18720
1;81;14587
1;81;31029
1;81;17112
1;81;18946
1;81;24857
1;81;26432
1;81;11070
1;81;14083
1;81;12206
1;82;13402
1;82;21432
1;82;21341
1;82;21933
1;82;25043
1;82;271258
1;82;13548
1;82;21958
1;82;22777
1;82;13216
1;82;38674
1;83;25589
1;83;20149
1;83;16924
1;83;34729
1;83;13887
1;84;69940
1;84;23745
1;84;17771
1;84;14122
1;84;25682
1;84;13816
1;84;21115
1;85;233717
1;85;17066
1;85;31851
1;85;12353
1;85;17258
1;85;16514
1;85;13808
1;85;19151
1;86;12370
1;86;16263
1;86;18306
1;86;18271
1;86;258510
1;86;36232
1;86;17044
1;86;26482
1;86;48199
1;86;12283
1;87;22872
1;87;15620
1;87;18441
1;87;51200
1;87;11674
1;87;27597
1;87;22035
1;87;16686
1;87;19901
1;87;19962
1;87;12970
1;88;11268
1;88;46299
1;88;15591
1;88;29068
1;88;27041
1;88;33540
1;88;8257
1;88;10668
1;88;11687
1;88;31540
1;89;10490
1;89;30460
1;89;22991
1;89;25636
1;89;14922
1;89;17430
1;89;28447
1;89;21955
1;89;25652
1;89;26018
1;90;188653
1;90;22153
1;90;45458
1;90;20675
1;90;23850
1;90;19194
1;90;16059
1;90;13618
1;90;18892
1;90;345574
1;90;11186
1;90;14630
1;90;16439
1;90;22879
1;91;36370
1;91;31772
1;91;23561
1;91;25816
1;91;15169
1;91;24665
1;91;17360
1;91;22936
1;91;13098
1;91;19987
1;91;24315
1;91;20085
1;92;18013
1;92;27450
1;92;13683
1;92;33933
1;92;43859
1;92;24973
1;93;21094
1;93;15928
1;93;29914
1;93;38241
1;93;11423
1;93;15144
1;93;19528
1;93;27131
1;93;17655
1;93;20636
1;94;26680
1;94;19321
1;94;21923
1;94;11953
1;94;17857
1;94;15710
1;94;16739
1;94;25207
1;94;15285
1;94;20226
1;94;11792
1;94;17457
1;95;15495
1;95;12267
1;95;250647
1;95;54352
1;95;26685
1;95;34713
1;95;22745
1;95;14871
1;95;26542
1;95;12122
1;95;25978
1;95;18518
1;95;21026
1;95;11090
1;95;24994
1;95;9707
1;95;35202
1;95;27208
1;96;15508
1;96;20476
1;96;36903
1;96;279996
1;96;38515
1;96;12189
1;96;11899
1;96;15872
1;96;15003
1;96;21624
1;97;16840
1;97;19387
1;97;34197
1;97;13118
1;97;24197
1;97;24524
1;97;231969
1;97;11488
1;97;29710
1;97;24712
1;97;13857
1;97;20417
1;97;12529
1;97;21606
1;98;10208
1;98;9707
1;98;31551
1;98;16966
1;98;22275
1;98;27457
1;98;32274
1;98;18068
1;98;18080
1;98;17486
1;98;15053
1;98;18879
1;98;10475
1;98;34046
1;98;28780
1;98;23024
1;98;14653
1;98;17626
1;98;14556
1;98;33287
1;98;22210
1;99;14129
1;99;46169
1;99;20702
1;99;25402
1;99;18842
1;99;21849
1;99;11745
1;99;16863
1;99;18147
1;99;26026
1;99;8974
1;99;21686
1;99;22514
1;99;30929
1;100;25301
1;100;32078
1;100;17546
1;100;32798
1;100;26210
1;100;10909
1;100;19576
1;100;32880
1;100;24904
1;101;19826
1;101;22572
1;101;18082
1;101;31194
1;101;16338
1;101;9406
1;101;13650
1;102;42894
1;102;21597
1;102;23149
1;102;16325
1;102;19680
1;102;16356
1;102;19917
1;102;22035
1;103;26196
1;103;37940
1;103;11178
1;103;36836
1;103;199916
1;103;27508
1;103;31632
1;103;23766
1;103;22040
1;103;21232
1;104;53546
1;104;18129
1;104;30805
1;104;13089
1;104;19346
1;104;23198
1;104;13102
1;104;59342
1;104;36480
1;104;30528
1;104;14982
1;104;16049
1;104;19983
1;104;21056
1;104;13570
1;104;15692
1;104;13237
1;105;29042
1;105;29847
1;105;28718
1;105;31565
1;105;269984
1;105;24580
1;105;25059
1;105;23680
1;105;15423
1;105;19162
1;105;16562
1;105;27015
1;105;11099
1;105;15600
1;105;18674
1;105;29705
1;105;16743
1;105;21900
1;105;66759
1;105;35597
1;105;26422
1;105;12842
1;105;28027
1;105;26241
1;105;10885
1;106;28072
1;106;20085
1;106;33517
1;106;23171
1;106;11155
1;106;70384
1;106;38273
1;106;14235
1;106;30401
1;107;21893
1;107;31912
1;107;9850
1;107;22735
1;107;19568
1;107;19840
1;107;16431
1;107;30193
1;107;29170
1;107;32353
1;107;11073
1;107;16308
1;107;11818
1;107;331572
1;107;17742
1;107;14494
1;107;29961
1;108;24890
1;108;33927
1;108;8042
1;108;31393
1;108;33928
1;108;21761
1;108;12869
1;108;12965
1;108;28569
1;108;49180
1;108;19072
1;108;14301
1;109;19787
1;109;246025
1;109;14346
1;109;29459
1;109;326150
1;109;32653
1;110;24308
1;110;31883
1;110;27279
1;110;26360
1;110;198264
1;110;33156
1;110;15372
1;110;22178
1;110;18203
1;111;16004
1;111;124046
1;111;32080
1;111;18424
1;111;34446
1;111;16445
1;111;21467
1;111;15005
1;111;14115
1;112;27979
1;112;27001
1;112;48933
1;112;25178
1;112;24072
1;112;23743
1;112;23308
1;113;24429
1;113;11755
1;113;24546
1;113;15286
1;113;11588
1;114;13512
1;114;19453
1;114;12794
1;114;17179
1;114;24072
1;114;17202
1;114;9755
1;114;33343
1;114;19578
1;115;18742
1;115;22863
1;115;24412
1;115;22954
1;115;292289
1;115;14347
1;115;10858
1;115;14242
1;115;17554
1;115;21993
1;115;22494
1;115;28107
1;115;16472
1;115;25432
1;116;12215
1;116;251170
1;116;20031
1;116;33291
1;116;20233
1;117;19332
1;117;31394
1;117;17332
1;117;18910
1;117;21518
1;117;51973
1;117;237555
1;117;34910
1;117;14509
1;117;15414
1;117;15477
1;117;309557
1;117;22961
1;117;11503
1;117;19173
1;118;21252
1;118;21308
1;118;11747
1;118;22348
1;118;18259
1;118;17452
1;118;30303
1;118;21631
1;118;30354
1;118;18465
1;118;31753
1;119;15209
1;119;8845
1;119;12996
1;119;24395
1;119;10993
1;119;12090
1;119;10865
1;119;10370
1;119;20357
1;119;39088
1;119;17730
1;119;12921
1;119;11838
1;119;18924
1;119;32480
1;119;20457
1;119;12898
1;119;30234
1;119;14858
1;120;14174
1;120;24914
1;120;29784
1;120;19990
1;120;11763
1;120;17755
1;120;234727
1;120;23437
1;120;24582
1;120;19104
1;120;24680
1;120;25369
1;121;10103
1;121;19036
1;121;27767
1;121;25317
1;121;12303
1;121;13578
1;121;27082
1;121;19381
1;121;28263
1;122;81848
1;122;21607
1;123;248783
1;123;13319
1;123;17993
1;123;15036
1;123;13969
1;123;14041
1;124;16221
1;124;20839
1;125;31060
1;125;266226
1;126;19938
1;126;23441
1;126;14650
1;127;12045
1;127;19610
1;128;16312
1;128;9801
1;128;21777
1;128;34590
1;128;48401
1;128;23660
1;128;19757
1;128;9687
1;129;26332
1;129;22779
1;130;14656
1;130;12443
1;131;212955
1;131;19665
1;131;15953
1;131;38354
1;132;16816
1;132;278345
1;133;34840
1;133;23068
1;135;9901
1;135;17335
1;135;24383
1;136;22066
1;137;20257
1;137;19772
1;137;15380
1;137;30134
1;138;217769
1;138;18046
1;138;28537
1;140;12895
1;140;51153
1;140;195439
1;141;13739
1;141;14935
1;141;26970
1;141;7462
1;141;20250
1;142;19847
1;142;31845
1;142;18872
1;142;17267
1;143;24851
1;143;25871
1;144;23864
1;145;28271
1;146;17872
1;146;22600
1;146;27606
1;146;233586
1;146;38023
1;147;32205
1;147;14399
1;147;27323
1;147;30270
1;147;21785
1;147;12948
1;148;17066
1;148;27717
1;148;13415
1;148;13872
1;149;16905
1;149;55360
1;149;12170
1;149;41526
1;149;43854
1;149;35439
1;150;22888
1;150;22072
1;150;20574
1;150;24829
1;150;32275
1;151;11440
1;151;21289
1;151;8741
1;151;8834
1;151;27474
1;151;9579
1;152;19036
1;152;26443
1;152;10098
1;153;15343
1;153;28124
1;153;17475
1;153;17369
1;154;16219
1;155;25898
1;155;33105
1;155;42450
1;156;20015
1;156;28703
1;156;19939
1;157;16742
1;157;12269
1;157;10934
1;158;27015
1;159;9661
1;159;27759
1;159;28493
1;159;22080
1;160;14174
1;160;37019
1;160;18486
1;161;24378
1;162;24726
1;162;19337
1;163;22443
1;163;15105
1;164;32341
1;165;30777
1;165;9300
1;165;18926
1;166;26201
1;166;39689
1;166;7264
1;167;53648
1;167;28066
1;168;16046
1;168;9486
1;168;11913
1;168;10612
1;169;20903
1;169;25779
1;170;35667
1;170;13374
1;170;175172
1;170;12037
1;171;14863
1;171;16735
1;171;13399
1;171;16525
1;171;19546
1;171;18314
1;172;20660
1;173;14218
1;173;17749
1;174;39454
1;174;15057
1;174;24272
1;174;16959
1;174;22303
1;175;23852
1;175;13433
1;175;23730
1;175;17485
1;176;15654
1;176;15797
1;177;29754
1;177;28949
1;177;223610
1;177;25216
1;177;16811
1;177;213580
1;177;11338
1;177;10868
1;177;8000
1;178;22886
1;178;19973
1;178;40584
1;179;14617
1;179;20599
1;180;23266
1;180;23348
1;180;20097
1;181;10064
1;181;250654
1;182;22979
1;182;13193
1;183;15465
1;183;19441
1;184;9931
1;184;32255
1;185;23198
1;186;19944
1;186;27399
1;186;28129
1;186;11650
1;187;266743
1;187;6517
1;188;26926
1;189;20418
1;190;32665
1;190;16609
1;191;12149
1;192;22393
1;192;27255
1;192;20784
1;192;11634
1;193;35830
1;194;37918
1;195;22725
1;195;26346
1;195;17819
1;196;16235
1;196;20419
1;196;24992
1;196;11379
1;196;18026
1;197;24815
1;197;22768
1;197;16085
1;197;24101
1;198;12787
1;198;22187
1;199;36665
1;200;24716
1;200;18316
1;200;21888
1;201;9753
1;202;236556
1;202;22451
1;202;15289
1;202;19638
1;202;18242
1;203;21667
1;203;13791
1;203;9269
1;203;29346
1;204;19977
1;205;34784
1;206;17140
1;206;21597
1;206;38058
1;206;28268
1;207;14038
1;207;25866
1;207;12349
1;207;20876
1;207;27614
1;208;224958
1;208;50794
1;208;13758
1;208;17351
1;208;13385
1;209;263875
1;210;34836
1;210;26181
1;211;18401
1;212;12830
1;213;10598
1;213;15135
1;213;25579
1;213;16617
1;214;30164
1;215;15451
1;216;25840
1;216;39037
1;216;12756
1;216;12319
1;217;22908
1;217;18221
1;218;9895
1;219;25004
1;219;18798
1;219;10445
1;220;11607
1;220;12708
1;220;14052
1;221;34745
1;222;64980
1;222;15543
1;222;27915
1;223;22766
1;223;18295
1;223;35093
1;224;20980
1;224;15505
1;224;13809
1;225;17297
1;225;22117
1;226;17482
1;226;20439
1;226;32308
1;227;16401
1;227;18587
1;227;9681
1;227;20287
1;227;13023
1;227;45155
1;228;31280
1;228;18010
1;228;15479
1;228;28816
1;228;12017
1;229;13251
1;229;27289
1;230;32254
1;230;14069
1;231;24920
1;232;24092
1;232;21494
1;233;20039
1;235;11251
1;236;16681
1;237;22682
1;237;13979
1;237;24882
1;237;13903
1;238;17447
1;238;28287
1;238;14369
1;238;22228
1;238;25619
1;238;235909
1;239;29677
1;239;23433
1;240;12608
1;240;18479
1;241;13962
1;241;19614
1;242;39541
1;242;16488
1;242;24107
1;242;25141
1;242;17440
1;243;14028
1;243;18543
1;243;218923
1;243;16679
1;243;26651
1;243;21513
1;244;12497
1;244;18725
1;244;14167
1;244;21525
1;244;13711
1;244;9356
1;245;194262
1;245;352264
1;245;34395
1;245;15916
1;245;39944
1;245;15642
1;245;16970
1;246;15568
1;246;22914
1;246;23958
1;246;23175
1;246;28316
1;246;18027
1;246;31000
1;246;17957
1;246;13307
1;246;12780
1;246;18402
1;246;21194
1;246;18284
1;246;40489
1;246;51185
1;247;7816
1;247;15176
1;247;29484
1;247;33807
1;247;23124
1;248;20387
1;248;20864
1;248;21308
1;248;26435
1;248;45002
1;248;42378
1;248;19020
1;248;384724
1;248;15347
1;248;34215
1;248;47543
1;249;27433
1;249;20647
1;249;27097
1;249;31667
1;249;30882
1;249;48106
1;250;36722
1;250;20963
1;250;12144
1;250;13641
1;250;20411
1;250;12726
1;250;29647
1;251;26783
1;251;29931
1;251;9935
1;251;32038
1;251;13909
1;251;13845
1;251;15291
1;251;12809
1;251;15915
1;251;31206
1;251;23004
1;251;13733
1;251;11687
1;251;16214
1;251;24599
1;251;17886
1;251;38189
1;251;29203
1;251;20907
1;251;18156
1;252;232991
1;252;36966
1;252;11529
1;252;47668
1;252;20536
1;252;13502
1;252;11715
1;252;12522
1;252;9214
1;252;24567
1;252;19572
1;252;16174
1;252;223537
1;252;13400
1;252;13422
1;252;27651
1;252;19200
1;252;14374
1;252;27599
1;252;12636
1;253;16880
1;253;15481
1;253;160853
1;253;31209
1;253;32336
1;253;55588
1;253;17126
1;253;32964
1;254;20379
1;254;21765
1;254;11697
1;254;67315
1;254;14601
1;254;25479
1;254;50444
1;254;14455
1;255;20071
1;255;10948
1;255;22137
1;255;19259
1;255;13112
1;255;28751
1;255;25771
1;255;13931
1;255;16407
1;255;16399
1;256;8841
1;256;19724
1;256;26980
1;256;25687
1;256;24089
1;256;17475
1;256;14542
1;256;20577
1;257;18207
1;257;16656
1;257;18608
1;257;17197
1;257;21602
1;257;21139
1;257;24511
1;257;31972
1;257;17792
1;257;17421
1;257;19252
1;258;20897
1;258;22119
1;258;20603
1;258;17220
1;258;21589
1;258;22140
1;258;21017
1;258;21357
1;258;21264
1;258;18751
1;258;12788
1;259;32446
1;259;36220
1;259;20673
1;259;25732
1;259;28602
1;259;18299
1;259;24689
1;259;19988
1;259;18471
1;259;8996
1;259;11713
1;260;15312
1;260;15275
1;260;17909
1;260;13789
1;260;21550
1;260;29679
1;260;10222
1;260;21723
1;260;24767
1;260;29819
1;260;16459
1;260;14987
1;261;24185
1;261;25604
1;261;34885
1;261;13303
1;261;16165
1;262;239616
1;262;9257
1;262;17399
1;262;34469
1;263;17885
1;263;25774
1;263;25163
1;263;15775
1;263;17656
1;263;16077
1;263;14248
1;263;224974
1;263;21870
1;263;11059
1;264;22807
1;264;11019
1;264;20515
1;264;18628
1;264;13731
1;264;11675
1;264;18369
1;264;24919
1;264;34651
1;264;17454
1;264;27909
1;264;30942
1;264;17911
1;264;26374
1;264;14288
1;264;22721
1;264;33228
1;264;23967
1;264;16591
1;265;27684
1;265;14718
1;265;43120
1;265;14186
1;265;22862
1;265;14104
1;265;16767
1;265;34886
1;265;39540
1;266;24810
1;266;14136
1;266;23711
1;266;16292
1;266;12101
1;266;29350
1;266;20806
1;266;24141
1;266;20424
1;266;304141
1;267;45801
1;267;11809
1;267;24837
1;267;14061
1;267;20776
1;267;36489
1;267;11049
1;267;23587
1;267;13165
1;267;11254
1;267;16094
1;267;30003
1;267;21000
1;268;22563
1;268;24662
